Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Number of Investments,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Number of Portfolio Organizations,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Price (in USD),Announced Date,Money Raised at IPO (in USD),IPO Status,Last Layoff Mention Date,Growth Category,Last Leadership Hiring Date,IPO Date,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Money_Raised_at_IPO / Total_Equity_Funding,Total funding amount / number of employees,Numeric revenue range / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),Numeric revenue amount / total number of employees * (IPO - founded date),ind_update,narrowed_industry,Predicted IPO Status,success
OverOps,https://www.crunchbase.com/organization/overops,$10M to $50M,"Analytics, Big Data, Cloud Computing, SaaS, Software",21790,"OverOps tells companies when, where and why code breaks in production, and the only solution that provides Automated Root Cause analysis.",Closed,2011,For Profit,2023,http://twitter.com/overopshq,25,,,https://www.linkedin.com/company/overops,,http://www.facebook.com/overopshq,,,info@overops.com,,,"San Francisco, California, United States",+1 415-767-1250,"Founded in 2011 by a team of experienced entrepreneurs, OverOps (formerly known as Takipi) analyzes production code in real-time to automatically deliver the complete source code and variables behind any critical error.  In test and production, OverOps analyzes your backend Java or .NET applications at runtime, letting you know when, where, and why they break.",,https://www.overops.com,,"Data and Analytics, Internet Services, Software",,Series C,76,M&A,5,2019,Series C,6,,,,49500000,49500000,Was Acquired,2,Harness,https://www.crunchbase.com/organization/harness-512d,,,,2023,,0,,,,,30000000,,12,,,,,,,,,,651315.7895,394736.8421,,,,,,"Software, SaaS, Cloud Computing",Technology & Software,0,no
Megaport,https://www.crunchbase.com/organization/megaport,$100M to $500M,"Cloud Infrastructure, Software, Telecommunications",6533,"Megaport is a software defined networking company that directly connects enterprises, networks, and services.",Active,2013,For Profit,2015,https://twitter.com/megaportnetwork,181,,,https://www.linkedin.com/company/megaport/,,https://www.facebook.com/megaportnetworks,,,media@megaport.com,,,"Brisbane, Queensland, Australia",1(300)466-342,"Megaport is a software defined networking company that directly connects enterprises, networks, and services. The company’s SDN-based Elastic Interconnection platform provides secure and on-demand connections between enterprises, networks, and services. Megaport was founded in 2013 by Bevan Slattery and is led by Chief Executive Officer, Vincent English.The Megaport network connects over 730 customers throughout over 165 data centers in 37 cities across 19 countries making it the world’s leading global SDN service.",,http://megaport.com,,"Hardware, Internet Services, Software",,Post-IPO Equity,176,IPO,1,2022,Post-IPO Equity,4,,4000000,4000000,29850000,100587361,Made Acquisitions,1,,,3,,,,,1,2022,,2022,2015,300000000,2,2,-7,,,,,,,,,571519.0966,1704545.455,22727.27273,2000000,50293680.5,2,852272.7273,"Cloud Infrastructure, Software, Telecommunications",Technology & Software,1,yes
Origami Logic,https://www.crunchbase.com/organization/origami-logic,$10M to $50M,"Advertising, Analytics, Big Data, Enterprise Software",31344,Origami Logic is a helps of world’s largest brands master the art and science of marketing performance.,Closed,2012,For Profit,2019,http://twitter.com/OrigamiLogic,63,,,http://www.linkedin.com/company/2605111,,http://www.facebook.com/OrigamiLogic,,,info@origamilogic.com,,,"Mountain View, California, United States",650-735-2236,"Origami Logic is a marketing analytics company that helps teams master their marketing performance by letting them see what’s working and what’s not, so they can optimize their efforts. Thousands of marketers and global brands like P&G, HP, JCPenney, Intel, and Omni Hotels, trust Origami Logic to help them unify and refine their vast array of marketing data, across every channel and platform, and let them search and organize it in real-time, in whatever way makes sense to them, so they can better understand their marketing efforts and improve their overall impact. Origami is funded by top-tier investors Accel Partners, Icon Ventures, NextWorld Capital, DAG Ventures, and Lightspeed Venture Partners.",,http://origamilogic.com,,"Advertising, Data and Analytics, Sales and Marketing, Software",,Series D,76,M&A,3,2018,Series D,4,,15200000,15200000,64500000,64500000,Was Acquired,5,Intuit,https://www.crunchbase.com/organization/intuit,,Acquisition,,2019,,0,,,,,30000000,,7,,,,,,,,,,848684.2105,394736.8421,200000,,,,,"Enterprise Software, Big Data, Analytics",Technology & Software,0,no
HealthMyne,https://www.crunchbase.com/organization/healthmyne,$1M to $10M,"Health Care, Hospital, Medical, Software",34105,HealthMyne provides clinicians with evidence-based imaging insights and solutions.,Closed,2013,For Profit,,http://twitter.com/HealthMyne,31,,,http://www.linkedin.com/company/healthmyne-inc-,,https://www.facebook.com/healthmyne,,,info@healthmyne.com,,,"Madison, Wisconsin, United States",6088277319,HealthMyne’s mission is to provide clinicians with real-time evidence-based imaging insights and solutions that significantly aid in improved decision-making for optimized patient care and reduced care delivery cost.,,http://www.healthmyne.com,,"Health Care, Software",,Series B,31,Early Stage Venture,5,2018,Series B,6,,15000000,15000000,26400000,27756540,,4,,,,,,,,0,,,2020,,5500000,,,,,,,,,,,,895372.2581,177419.3548,483870.9677,,,,,"Software, Medical, Hospital",Technology & Software,0,no
Ondas Networks,https://www.crunchbase.com/organization/ondas-networks,$50M to $100M,"Internet, Internet of Things, Wireless",21537,Ondas Networks is a wireless networking company that designs and manufactures its multi-patented SDR platform.,Active,2006,For Profit,2018,https://twitter.com/OndasHoldings,17,,,https://www.linkedin.com/company/ondasnetworks,,https://www.facebook.com/qondatijuca,,,ir@ondas.com,,,"Sunnyvale, California, United States",1.19E+11,"Ondas Networks is a company in the field of wireless networking. It specializes in creating and producing a proprietary software-defined radio platform with multiple patents, specifically designed for crucial Internet of Things (IoT) uses.",,https://www.ondas.com,,"Hardware, Internet Services, Mobile",,Post-IPO Equity,,IPO,3,2024,Post-IPO Equity,7,154650000,4500000,4500000,48935000,49760000,Made Acquisitions,,,,2,,,,30000000,1,,Growing,,2018,75000000,12,12,-6,34.36666667,34.36666667,3.107918006,3.160314703,6.666666667,6.666666667,0.602893891,0.613058138,,,,375000,4146666.667,0.583333333,,"Internet, Internet of Things, Wireless",Technology & Software,1,yes
Marathon Digital,https://www.crunchbase.com/organization/marathon-digital-holdings,$100M to $500M,"Bitcoin, Blockchain, Cryptocurrency, FinTech",4158,Marathon Digital is a bitcoin company focused on increasing the amount of computational power.,Active,2010,For Profit,2012,https://twitter.com/marathondh,268,,2,https://www.linkedin.com/company/marathon-digital-holdings,,https://www.facebook.com/MarathonDigitalHoldings,,,ir@marathondh.com,,4,"Las Vegas, Nevada, United States",800-804-1690,Marathon is a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets. Marathon Digital Holdings aims to build the largest mining operation in North America at one of the lowest energy costs. Marathon helps its customers gain exposure to Bitcoin in your portfolio without having to deal with the complications of holding the asset directly.,,https://www.mara.com/,2,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,Post-IPO Debt,,IPO,,2023,Post-IPO Equity,6,,417000000,14250000,534250000,1151250000,,1,,,,,,,,1,,,,2012,300000000,2,2,-11,,,,,,,,,,,,208500000,575625000,3,,"Bitcoin, FinTech, Cryptocurrency",Technology & Software,1,yes
SiteMinder,https://www.crunchbase.com/organization/siteminder,$10B+,"Customer Service, E-Commerce, Enterprise Software, Hotel, Information Technology, SaaS, Software",2232,"SiteMinder, used by 41,000+ hotels in 150 countries, is the only software platform that unlocks the full revenue potential of hotels.",Active,2006,For Profit,2021,https://twitter.com/SiteMinder_News,121,,,https://www.linkedin.com/company/302335,,https://www.facebook.com/siteminder1,,,info@siteminder.com,,,"Sydney, New South Wales, Australia",+61 2 9221 4444,"SiteMinder Limited (ASX:SDR) is the name behind SiteMinder, the only software platform that unlocks the full revenue potential of hotels, and Little Hotelier, an all-in-one hotel management software that makes the lives of small accommodation providers easier. The global company is headquartered in Sydney with offices in Bangalore, Bangkok, Barcelona, Berlin, Dallas, Galway, London and Manila. Through its technology and the largest partner ecosystem in the global hotel industry, SiteMinder generates more than 100 million reservations worth over A$60 billion in revenue for its hotel customers each year.",,https://www.siteminder.com/,,"Commerce and Shopping, Information Technology, Other, Professional Services, Software, Travel and Tourism",,Series D,751,IPO,2,2021,Series D,6,,73169482,73169482,178465491,178465491,Made Acquisitions,5,,,2,,,,463688460,1,,Growing,,2021,10000000000,15,15,0,,,,,6.337183855,6.337183855,2.598196757,2.598196757,237637.1385,13315579.23,97429.40346,4877965.467,11897699.4,0.4,887705.2818,"Software, Enterprise Software, SaaS",Technology & Software,1,yes
Mister Spex,https://www.crunchbase.com/organization/mister-spex,$10M to $50M,"E-Commerce, Eyewear, Internet, Retail, Shopping",13146,Mister Spex is an online store that sells various brands of glasses and contact lenses.,Active,2007,For Profit,2021,https://twitter.com/misterspex,62,,,https://www.linkedin.com/company/mister-spex/,,https://www.facebook.com/misterspexeurope/,,,service@misterspex.de,,,"Berlin, Berlin, Germany",1-800-810-8090,"Mister Spex is an online store that sells various brands of glasses and contact lenses in Germany. Its product range includes over 5000 different glasses, sunglasses, sports eyewear, and contact lenses from more than 60 brands and designers. The store’s offerings include sports labels such as Adidas, Carrera, Lacoste, and Oakley to designer brands such as Burberry, Calvin Klein, Dolce&Gabbana, Gucci, Jil Sander, Prada, Roberto Cavalli, Tom Ford, and Versace. Mister Spex was launched in 2007 and its operations are headquartered in Berlin, Germany. It also operates its own websites in France, Spain, Austria, Switzerland, the Netherlands, and Great Britain.",,http://misterspex.de,,"Commerce and Shopping, Consumer Goods, Internet Services",,Private Equity,376,IPO,5,2020,Private Equity,11,1000000000,,,158009427,158009427,Made Acquisitions,5,,,4,,,,444931694,1,,Growing,2023,2021,30000000,14,14,1,,,6.328736323,6.328736323,,,2.815855373,2.815855373,420237.8378,79787.23404,,,11286387.64,0.785714286,5699.088146,"Shopping, Retail, Internet",Technology & Software,1,yes
IonQ,https://www.crunchbase.com/organization/ionq-inc,$10M to $50M,"Computer, Electronics, Information Services, Information Technology, Quantum Computing",852,IONQ develops general-purpose quantum information processors to solve the world’s complex problems.,Active,2015,For Profit,2021,https://twitter.com/IonQ_Inc,229,,,https://www.linkedin.com/company/ionq.co,,https://www.facebook.com/profile.php?id=100068180767172,,,info@ionq.com,,,"College Park, Maryland, United States",(301)298-7997,"IONQ develops general-purpose quantum information processors to solve the world’s complex problems. Its unique trapped ion approach combines unmatched physical performance, perfect qubit replication, optical networkability, and highly optimized algorithms to create a quantum computer that is as scalable as it is powerful and that will support a broad array of applications across a variety of industries. It was founded in 2015 and is based in College Park, Maryland.",,https://ionq.com,,"Consumer Electronics, Hardware, Information Technology, Science and Engineering",,Post-IPO Equity,376,IPO,2,2021,Post-IPO Equity,6,2000000000,350000000,350000000,432000000,432000000,Made Acquisitions,4,,,1,,,,286000000,1,,Growing,2024,2021,30000000,6,6,0,5.714285714,5.714285714,4.62962963,4.62962963,0.817142857,0.817142857,0.662037037,0.662037037,1148936.17,79787.23404,930851.0638,58333333.33,72000000,1,13297.87234,"Quantum Computing, Information Technology, Information Services",Technology & Software,1,yes
Grupa Pracuj,https://www.crunchbase.com/organization/grupa-pracuj,$10M to $50M,"Employment, Human Resources, Internet, Recruiting, SaaS, Software",22937,"Grupa Pracuj, the owner of GP HR VENTURES, is the fastest developing technological companies in Central Europe providing HR solutions.",Active,2000,For Profit,2021,,7,,,http://www.linkedin.com/company/30360,,https://www.facebook.com/Pracuj.pldlaPracodawcow,,1,,,2,"Warsaw, Mazowieckie, Poland",+48 22 373 73 00,"Grupa Pracuj is one of the fastest developing technological companies in Central Europe, leading provider of solutions that help companies with employee recruitment, retainment and development. 30 thousand clients from 40 countries use the company's products and services. Grupa Pracuj owns the most recognised recruitment brands: Pracuj.pl in Poland and Rabota.ua in Ukraine. In the field of technological solutions under the SaaS model (Software as a Service), it offers two products: the leading ATS eRectuiter system, which has been supporting companies in conducting effective recruitment, and the innovative emplo.com platform, which makes communication and HR processes in companies.",,http://grupapracuj.pl/,2,"Administrative Services, Internet Services, Professional Services, Software",,Private Equity,751,IPO,3,2017,Private Equity,2,1225931591,95000000,95000000,95000000,95000000,Made Acquisitions,1,,,2,,,,274608676,1,,Growing,,2021,30000000,21,21,4,12.90454306,12.90454306,12.90454306,12.90454306,2.890617642,2.890617642,2.890617642,2.890617642,126498.0027,39946.73768,126498.0027,4523809.524,4523809.524,0.095238095,1902.225604,"Software, SaaS, Recruiting",Technology & Software,1,yes
