Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Money Raised at IPO (in USD),IPO Status,Growth Category,IPO Date,Adjusted Valuation According to Inflation,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Total funding amount / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),ind_update,narrowed_industry,success
Bandhan Bank,https://www.crunchbase.com/organization/bandhan-bank,$10B+,"Banking, Finance, Financial Services, Lending","11,305",Bandhan Bank provides microfinance lending services.,Active,2015,For Profit,2018,https://twitter.com/bandhanbank_in,349,,,https://www.linkedin.com/company/bandhanbank/,,https://www.facebook.com/BandhanBank/,,,investors@bandhanbank.com,,"Kolkata, West Bengal, India",033 6609 0909,"Bandhan Bank Limited is a commercial bank focused on micro banking and general banking services. Bandhan Bank has a license to provide banking services pan-India across customer segments. Bank offer a variety of asset and liability products and services designed for micro banking and general banking, as well as other banking products and services to generate non-interest income.",,https://www.bandhanbank.com/,"Financial Services, Lending and Investments",,Post-IPO Equity,10001,IPO,1,2019,Post-IPO Equity,2,6261504151,,,206375178,206375178,Made Acquisitions,,,,3,,69129231,Public,Growing,2018,6857481647,10000000000,3,3,-1,,,30.3403937,30.3403937,,,0.334968729,20635.45425,,,68791726,0.666666667,"Lending, Financial Services, Finance",Financial Services & Fintech,Yes
Fiera Capital,https://www.crunchbase.com/organization/fiera-capital,$1M to $10M,"Asset Management, Communities, E-Commerce, Finance, Financial Services, Internet, Lifestyle","11,390","Fiera Capital is a prominent Canadian investment management firm recognized for its excellence in portfolio management, innovative and",Active,2002,For Profit,2010,,91,,1,https://www.linkedin.com/company/fiera-capital,,https://www.facebook.com/fieraforher,Private Equity Firm,,info@fieracapital.com,,"Quebec, Quebec, Canada",416 955-4877,"Fiera Capital is a prominent Canadian investment management firm recognized for its excellence in portfolio management, innovative and personalized investment solutions, and its ability to surpass client expectations. We offer a unique expertise in both traditional and absolute return investment strategies and are one of only a handful of independent investment firms providing extensive expertise in Canadian active and structured fixed income, Canadian and foreign equity, asset allocation and non-traditional investment solutions through a broad range of strategies and services.",,http://fieracapital.com,"Commerce and Shopping, Community and Lifestyle, Financial Services, Internet Services",,Post-IPO Debt,751,IPO,1,2023,,1,,65000000,,,65000000,Made Acquisitions,,,,3,,,Public,Growing,2010,,5500000,8,8,-13,,,,,,,,86551.26498,86551.26498,8125000,8125000,0.125,"Asset Management, Lifestyle, Internet",Financial Services & Fintech,Yes
Tyro Payments,https://www.crunchbase.com/organization/tyro-payments,$100M to $500M,"Banking, Finance, Financial Services, Payments, Service Industry","11,824",Tyro Payments provides financial services.,Active,2003,For Profit,2019,http://twitter.com/tyropayments,62,,1,http://www.linkedin.com/company/tyro-payments,,http://www.facebook.com/tyrolimited,,,info@tyro.com,,"Sydney, New South Wales, Australia",+1 028 907-1700,Tyro Payments they are providing tailored payment solutions and value-adding business to banking products.,1,http://www.tyro.com,"Financial Services, Lending and Investments, Other, Payments",1,Secondary Market,376,IPO,3,2019,Venture - Series Unknown,17,,,72285725,103880115,103880115,Made Acquisitions,1,,,1,,,Public,Growing,2019,,300000000,16,16,0,,,,,,,,276276.9016,,,6492507.188,1.0625,"Financial Services, Payments, Service Industry",Financial Services & Fintech,Yes
Fusion Microfinance,https://www.crunchbase.com/organization/fusion-microfinance,$100M to $500M,"Banking, Finance, Financial Services, FinTech","11,985",Fusion Microfinance is a New Delhi-based micro-lending startup aiming to provide underprivileged women with economic opportunities.,Active,2010,For Profit,2022,https://www.twitter.com/delhiwebhosting,67,,,https://www.linkedin.com/company/fusion-microfinance,,https://www.facebook.com/FusionMicrofinance,,,contact@fusionmicrofinance.com,,"New Delhi, Delhi, India",9.11E+11,"Fusion is head quartered in New Delhi and is operational in the less penetrated North Central part of India (Madhya Pradesh, Uttarakhand, Uttar Pradesh, Delhi and Haryana). The company started its Greenfield operations in January 2010 and further augmented it by acquiring the microfinance division Aajeevika (a not for profit body operating in Delhi). At the time of acquisition Aajeevika had a base of 1280 members with a loan book of Rs 6.3 million.",,http://fusionmicrofinance.com/,"Financial Services, Lending and Investments",,Post-IPO Debt,10001,IPO,2,2024,Series F,9,,25000000,69476770,192300093,287584435,,4,,,,,,Public,Growing,2022,,300000000,12,12,-2,,,,,,,,28755.56794,2499.750025,2083333.333,23965369.58,0.75,"Financial Services, Finance, FinTech",Financial Services & Fintech,Yes
PennantPark Investment Corp,https://www.crunchbase.com/organization/pennantpark-investment-corp,$50M to $100M,"Finance, Financial Services","11,996",PennantPark Investment provides middle-market companies with creative and flexible capital solutions.,Active,2007,For Profit,2017,,18,,1,https://www.linkedin.com/company/pennantpark,,,,,,,"New York, New York, United States",2129051000,"PennantPark Investment Corporation is a publicly listed business development firm specializing in direct and mezzanine investments in middle market companies. It invests in the form of mezzanine debt, senior secured loans, and equity investments. The firm invests in equity securities and debt transactions through preferred stock, common stock, warrants, options, subordinated loans, mezzanine loans, and senior secured loans. It seeks to invest in companies based in the United States. The firm seeks to invest between $10 million and $50 million in its portfolio companies. Its mezzanine loans, senior secured loans, and other investments in its portfolio companies are between $15 million and $50 million. The firm may also make non-control equity and debt investments. PennantPark Investment Corporation was founded on January 11, 2007 and is based in New York, New York.",,http://www.pennantpark.com/,Financial Services,,Post-IPO Debt,,IPO,2,2024,Post-IPO Equity,4,,611000000,49600000,189417591,1101117591,Made Acquisitions,1,,,1,,,Public,Growing,2017,,75000000,10,10,-7,,,,,,,,,,61100000,110111759.1,0.4,"Finance, Financial Services",Financial Services & Fintech,Yes
Mogo,https://www.crunchbase.com/organization/mogo-finance-technology,$10M to $50M,"Apps, Finance, Financial Services, Internet","12,000",Mogo is a consumer finance company that helps in managing and controlling finances.,Active,2003,For Profit,2015,http://twitter.com/mogomoney,157,,3,https://www.linkedin.com/company/mogo/,,http://www.facebook.com/mogomoney,,,marketing@mogo.ca,,"Vancouver, British Columbia, Canada",+1 800 980 6646,"Mogo is a financial technology company. They provide consumers with financial applications and solutions that help them control their financial health. Their users can sign up for a free account and get access to products and solutions that help them monitor their credit score, protect themselves from identity fraud, and control their spending.",,https://www.mogo.ca ,"Apps, Financial Services, Internet Services, Software",,Post-IPO Equity,376,IPO,1,2021,Post-IPO Equity,10,,27500000,27500000,104155448,315308594,Made Acquisitions,1,,,4,,,Public,,2015,,30000000,12,12,-6,,,,,,,,838586.6862,73138.29787,2291666.667,26275716.17,0.833333333,"Finance, Internet, Financial Services",Financial Services & Fintech,Yes
Fidelis Insurance,https://www.crunchbase.com/organization/fidelis-insurance,$1B to $10B,Insurance,"12,063",Fidelis Insurance is a property and casualty (re)insurance start up.,Active,2015,For Profit,2023,,43,,,https://www.linkedin.com/company/fidelis-insurance,,,,,london@fidelisinsurance.com,,"London, England, United Kingdom",+44 203 846 6060,"Fidelis Insurance is a property and casualty (re)insurance start up. The  company offering effective, bespoke coverage within specialist lines providing significant capacity with a strong balance sheet.",,https://www.fidelisinsurance.com,Financial Services,,Post-IPO Secondary,76,IPO,1,2024,Corporate Round,5,1500000000,165600000,,2049999954,2215599954,,4,,,,,210000000,Public,Growing,2023,1522702104,5500000000,8,8,-1,9.057971014,,0.677017526,0.731707333,1.268115942,,0.094782454,29152630.97,2178947.368,20700000,276949994.3,0.625,Insurance,Financial Services & Fintech,Yes
Sunlight Financial,https://www.crunchbase.com/organization/sunlight-financial,$50M to $100M,"Financial Services, Renewable Energy, Solar","12,089","Sunlight Financial is a premier, technology-enabled point-of-sale financing company.",Active,2014,For Profit,2023,https://twitter.com/sunlightloans,48,,,https://in.linkedin.com/company/sunlight-financial,,,,,info@sunlightfinancial.com,,"New York, New York, United States",(888) 850-3359,"Sunlight Financial is a premier, technology-enabled point-of-sale finance company. Sunlight partners with contractors nationwide to provide homeowners with financing for the installation of residential solar systems and other home improvements. Sunlight’s best-in-class technology and deep credit expertise simplify and streamline consumer finance, ensuring a fast and frictionless process for both contractors and homeowners.",,http://www.sunlightfinancial.com/,"Energy, Financial Services, Natural Resources, Sustainability",,Post-IPO Equity,176,IPO,3,2021,Post-IPO Equity,7,,250000000,250000000,510000000,955000000,,6,,,,,,Public,Growing,2023,,75000000,9,9,2,,,,,,,,5426136.364,1420454.545,27777777.78,106111111.1,0.777777778,"Financial Services, Renewable Energy, Solar",Financial Services & Fintech,Yes
ICICI Prudential Life Insurance,https://www.crunchbase.com/organization/icici-prulife-insurance,$1B to $10B,"Insurance, Life Insurance, Retirement","12,141","ICICI Prudential Life Insurance Company Ltd. is one of the life insurance players in India and it has assets held over Rs. 100,000 Cr.",Active,2000,For Profit,2016,https://twitter.com/iciciprulife,119,,,https://www.linkedin.com/company/icici-prudential-life-insurance-company-limited,,https://www.facebook.com/ICICIPruLife/?ref=page_internal,,,lifeline@iciciprulife.com,,"Mumbai, Maharashtra, India",91 22 6662 1600,"ICICI PruLife Insurance is an insurance company. It provides life insurance, pensions, and health insurance to individuals and groups. It offers participating, non-participating, and unit linked products. The company also provides insurance products for individuals, such as term life, child education, retirement, and health insurance plans, as well as traditional savings/money back plans. Additionally, it offers group insurance solutions for companies, such as loan protect, loan protect plus, group term plus, group gratuity, group superannuation, group leave encashment, group immediate annuity plans. ICICI PruLife Insurance was founded in 2000 and is headquartered in Mumbai, India.",13,https://www.iciciprulife.com,"Community and Lifestyle, Financial Services, Other",13,Post-IPO Secondary,10001,IPO,1,2020,Private Equity,2,,110964433,244000000,244000000,354964434,Made Acquisitions,1,,,1,,,Public,Growing,2016,,5500000000,16,16,-4,,,,,,,,35492.89411,11095.33377,6935277.063,22185277.13,0.125,"Insurance, Life Insurance, Retirement",Financial Services & Fintech,Yes
Blend,https://www.crunchbase.com/organization/blend-labs,$50M to $100M,"Financial Services, FinTech, Lending, Software",87,"Blend is a digital lending platform that facilitates the entire lending process, from application to underwriting to closing.",Active,2012,For Profit,2021,http://www.twitter.com/blendlabsinc,197,Exited Unicorn,,https://www.linkedin.com/company/blend-,,https://www.facebook.com/BlendLabs,,,press@blendlabs.com,,"San Francisco, California, United States",(650) 550-4810,"Blend is a digital lending platform that supports and simplifies applications for mortgages, consumer loans, and deposit accounts.The company helps lenders streamline the customer journey for any banking product from application to close. Its Digital Lending Platform is utilized by Wells Fargo, U.S. Bank, and over 285 other leading financial institutions to acquire more customers, increase productivity, and deepen customer relationships. The company enables customers to process more than $4 billion in mortgages and consumer loans per day, helping millions of consumers get into homes and gain access to the capital they need to lead better lives. Erin Collard, Eugene Marinelli, Nima Ghamsari, and Rosco Hill headquartered the company in San Francisco, California in 2012.",,https://www.blend.com,"Financial Services, Software",,Private Equity,3001,IPO,4,2024,Private Equity,11,3952670000,150000000,150000000,815000000,815000000,Made Acquisitions,8,,,1,,360000000,Public,,2021,4145630244,75000000,9,9,-3,26.35113333,26.35113333,4.84990184,4.84990184,2.4,2.4,0.441717791,271576.1413,49983.33889,16666666.67,90555555.56,1.222222222,"Lending, Software, Financial Services",Financial Services & Fintech,Yes
